settingsFile;InputVideo; Frame#; GaussMean;GaussStdDev;GaussMixProp;Goodness-Of-Fit Value;kalmanGaussMean;kalmanGaussStdDev;kalmanGaussMixProp;Rain Intensity;Kalman Rain Intensity
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 92; 170.000000;0.000000;0.174563;0.184809;128.700151;19.049979;0.051659;85583.815102;25327.125278
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 93; 170.000000;0.000000;0.190175;0.147052;128.700151;19.049979;0.051659;88700.297471;24094.513661
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 94; 170.000000;0.000000;0.176074;0.138106;128.700151;19.049979;0.051659;86457.554063;25366.149478
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 95; 170.000000;0.000000;0.181833;0.140940;128.700151;19.049979;0.051659;87062.126247;24734.436332
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 96; 170.000000;0.000000;0.189525;0.130762;128.700151;19.049979;0.051659;88706.962394;24179.026140
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 97; 170.000000;0.000000;0.186475;0.145541;128.700151;19.049979;0.051659;90797.359757;25153.496594
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 98; 170.000000;0.000000;0.202704;0.123962;128.700151;19.049979;0.051659;88451.341414;22541.805378
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 99; 170.000000;0.000000;0.194263;0.153904;128.700151;19.049979;0.051659;86290.235316;22946.623742
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 100; 170.000000;0.000000;0.206576;0.162290;128.700151;19.049979;0.051659;88524.248715;22137.480485
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 101; 170.000000;0.000000;0.208500;0.119190;128.700151;19.049979;0.051659;86725.520193;21487.602476
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 102; 170.753481;1.029492;0.283940;0.107413;128.700151;19.049979;0.051659;134644.094463;24496.637878
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 103; 170.709390;1.026155;0.241146;0.128872;128.700151;19.049979;0.051659;131524.913262;28175.715058
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 104; 170.725880;1.042613;0.242080;0.125939;128.700151;19.049979;0.051659;132531.488491;28281.791451
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 105; 170.717861;1.038415;0.232274;0.099147;128.700151;19.049979;0.051659;130796.418776;29089.824978
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 106; 170.729765;1.007208;0.244910;0.139424;128.700151;19.049979;0.051659;131101.527998;27653.388342
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 107; 170.760271;1.019417;0.251940;0.142413;128.700151;19.049979;0.051659;132513.094433;27171.139457
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 108; 174.747490;2.126094;0.294370;0.098587;128.700151;19.049979;0.051659;135455.032592;23771.011132
D:/VAP_RainRemoval/BossuRainAnalysis/Output/testVid2.avi/testVid2.avi_Settings.txt;testVid2.avi; 109; 174.602454;2.146593;0.296463;0.082562;128.700151;19.049979;0.051659;143777.409789;25053.361677
